source,product_id,name,price,url,keyword,name_norm,image,normalized_name,image_url
tiki,278248585.0,"Dép Nữ Quai Ngang, Dép Gấu Nâu Siêu Nhẹ DP04",44840,https://tiki.vn/dep-nu-quai-ngang-dep-gau-nau-sieu-nhe-dp04-p278248585.html?spid=278248619,dep,d p n quai ngang d p g u n u si u nh dp04,,,
tiki,106684662.0,Dép Nữ Sức Khoẻ Spenco Astoria Slide - Dép quai ngang đệm mềm cho chân nhạy cảm,2445000,https://tiki.vn/dep-nu-suc-khoe-spenco-astoria-slide-dep-quai-ngang-dem-mem-cho-chan-nhay-cam-p106684662.html?spid=106684682,dep,d p n s c kho spenco astoria slide d p quai ngang m m m cho ch n nh y c m,,,
tiki,277211908.0,Dép nữ kiểu dáng dễ thương - DNU9068,160000,https://tiki.vn/dep-nu-kieu-dang-de-thuong-dnu9068-p277211908.html?spid=277211912,dep,d p n ki u d ng d th ng dnu9068,,,
tiki,278814326.0,Dép khách sạn Hương Quế - DCQ-91,40000,https://tiki.vn/dep-khach-san-huong-que-dcq-91-p278814326.html?spid=278814340,dep,d p kh ch s n h ng qu dcq 91,,,
tiki,276861822.0,"Dép hài mang trong nhà cao cấp Hương Quế DH-38 tạo cảm giác nhẹ nhàng, thoải mái khi mang",111200,https://tiki.vn/dep-hai-mang-trong-nha-cao-cap-huong-que-dh-38-tao-cam-giac-nhe-nhang-thoai-mai-khi-mang-p276861822.html?spid=276861828,dep,d p h i mang trong nh cao c p h ng qu dh 38 t o c m gi c nh nh ng tho i m i khi mang,,,
tiki,278214838.0,Dép quai ngang sức khỏe nữ Spenco Kholo Monet,1945000,https://tiki.vn/dep-quai-ngang-suc-khoe-nu-spenco-kholo-monet-p278214838.html?spid=278214844,dep,d p quai ngang s c kh e n spenco kholo monet,,,
tiki,278640874.0,Dép sợi đay Hương Quế - DCQ-90,40000,https://tiki.vn/dep-soi-day-huong-que-dcq-90-p278640874.html?spid=278640884,dep,d p s i ay h ng qu dcq 90,,,
tiki,276024489.0,Dép Đế Trấu Nữ 2 Khóa Navy DC01 - EVA Dincox,200000,https://tiki.vn/dep-de-trau-nu-2-khoa-navy-dc01-eva-dincox-p276024489.html?spid=276024497,dep,d p tr u n 2 kh a navy dc01 eva dincox,,,
tiki,276605545.0,"Dép hài mang trong nhà cao cấp Hương Quế DH-34 tạo cảm giác nhẹ nhàng, thoải mái khi mang",100000,https://tiki.vn/dep-hai-mang-trong-nha-cao-cap-huong-que-dh-34-tao-cam-giac-nhe-nhang-thoai-mai-khi-mang-p276605545.html?spid=276605549,dep,d p h i mang trong nh cao c p h ng qu dh 34 t o c m gi c nh nh ng tho i m i khi mang,,,
tiki,278048352.0,Dép Lê Quai Ngang Da Bò thời trang thiết kế Hity FTW001,485000,https://tiki.vn/dep-le-quai-ngang-da-bo-ftw001brown-thoi-trang-thiet-ke-hity-p278048352.html?spid=278048356,dep,d p l quai ngang da b th i trang thi t k hity ftw001,,,
tiki,269984713.0,Dép sức khỏe nữ Spenco Kholo Wave Navy - Dép quai ngang ôm bàn chân giảm đau,2245000,https://tiki.vn/dep-suc-khoe-nu-spenco-kholo-wave-dep-quai-ngang-om-ban-chan-giam-dau-p269984713.html?spid=269984715,dep,d p s c kh e n spenco kholo wave navy d p quai ngang m b n ch n gi m au,,,
tiki,278961937.0,Dép Nữ Da Bò Thật BIGGBEN Cao Cấp DNQN71,299000,https://tiki.vn/dep-nu-da-bo-that-biggben-cao-cap-dnqn71-p278961937.html?spid=278961947,dep,d p n da b th t biggben cao c p dnqn71,,,
tiki,275789458.0,Dép Bitis nữ (35-40),245000,https://tiki.vn/dep-bitis-nu-35-40-p275789458.html?spid=275789470,dep,d p bitis n 35 40,,,
tiki,278814347.0,Dép khách sạn Hương Quế - DCQ-92,40000,https://tiki.vn/dep-khach-san-huong-que-dcq-92-p278814347.html?spid=278814361,dep,d p kh ch s n h ng qu dcq 92,,,
tiki,278515160.0,Dép quai ngang Biti's nữ ( 35-40),265000,https://tiki.vn/dep-quai-ngang-biti-s-nu-35-40-p278515160.html?spid=278515162,dep,d p quai ngang biti s n 35 40,,,
tiki,277227948.0,"Dép quai ngang đi trong nhà Hương Quế DQN-11 thích hợp mang trong nhà, trong văn phòng",76000,https://tiki.vn/dep-quai-ngang-di-trong-nha-huong-que-dqn-11-thich-hop-mang-trong-nha-trong-van-phong-p277227948.html?spid=277227952,dep,d p quai ngang i trong nh h ng qu dqn 11 th ch h p mang trong nh trong v n ph ng,,,
tiki,276803463.0,"Dép Dvsd01 Chất Liệu Da, Đế Cao Su Bền Đẹp Chất Lượng Cao",176000,https://tiki.vn/dep-dvsd01-chat-lieu-da-de-cao-su-ben-dep-chat-luong-cao-p276803463.html?spid=276803477,dep,d p dvsd01 ch t li u da cao su b n p ch t l ng cao,,,
tiki,278465957.0,"DÉP DỌ NAM, DÉP QUAI HẬU, DÉP LEO NÚI, DÉP NHỰA",33600,https://tiki.vn/dep-do-nam-dep-quai-hau-dep-leo-nui-dep-nhua-p278465957.html?spid=278465965,dep,d p d nam d p quai h u d p leo n i d p nh a,,,
tiki,162867753.0,"DÉP NAM BA QUAI DA BÒ,QUAI CÓ GẮN KHUY ĐẸP MẮT",279000,https://tiki.vn/dep-nam-ba-quai-da-bo-quai-co-gan-khuy-dep-mat-p162867753.html?spid=162867757,dep,d p nam ba quai da b quai c g n khuy p m t,,,
tiki,278423305.0,Dép quai ngang Biti's nam (39-44),415000,https://tiki.vn/dep-quai-ngang-biti-s-nam-39-44-p278423305.html?spid=278423309,dep,d p quai ngang biti s nam 39 44,,,
tiki,274781566.0,"Dép Nam Quai Ngang, Dép Đúc Liền Nguyên Khối Mã DP105",82840,https://tiki.vn/dep-nam-quai-ngang-dep-duc-lien-nguyen-khoi-ma-dp105-p274781566.html?spid=274781582,dep,d p nam quai ngang d p c li n nguy n kh i m dp105,,,
tiki,276952413.0,Dép đúc răng cưa dép bánh mì nam nữ vân nhám đế êm chân không thấm nước  có big size,63999,https://tiki.vn/dep-duc-rang-cua-dep-banh-mi-nam-nu-van-nham-de-em-chan-khong-tham-nuoc-de-cao-4cm-co-big-size-p276952413.html?spid=276952445,dep,d p c r ng c a d p b nh m nam n v n nh m m ch n kh ng th m n c c big size,,,
tiki,177643992.0,Dép nữ da bò thật BIGGBEN cao cấp DNQN43,219000,https://tiki.vn/dep-nu-da-bo-that-biggben-cao-cap-dnqn43-p177643992.html?spid=177644000,dep,d p n da b th t biggben cao c p dnqn43,,,
tiki,56336541.0,"Dép nữ sức khỏe Aetrex Lynco Maui Grey  - Dép kẹp giảm đau gót chân, không thấm nước",1745000,https://tiki.vn/dep-nu-suc-khoe-aetrex-lynco-maui-grey-l3100w-p56336541.html?spid=56336549,dep,d p n s c kh e aetrex lynco maui grey d p k p gi m au g t ch n kh ng th m n c,,,
tiki,108311449.0,Dép Sục Nữ Da Bò BIGGBEN Cao Cấp SBN39,269000,https://tiki.vn/dep-suc-nu-da-bo-biggben-cao-cap-sbn39-p108311449.html?spid=108311453,dep,d p s c n da b biggben cao c p sbn39,,,
tiki,53112821.0,"Dép chiếu Hương Quế DCQ-50 làm từ lụa tơ tằm - vải cotton - lớp đế cao su xốp cho đôi chân thơm, mát và khô thoáng - Xanh",54400,https://tiki.vn/dep-chieu-huong-que-dcq-50-lam-tu-lua-to-tam-vai-cotton-lop-de-cao-su-xop-cho-doi-chan-thom-mat-va-kho-thoang-xanh-p53112821.html?spid=53112831,dep,d p chi u h ng qu dcq 50 l m t l a t t m v i cotton l p cao su x p cho i ch n th m m t v kh tho ng xanh,,,
tiki,53108304.0,Dép chiếu Hương Quế DCQ-50 làm từ lụa tơ tằm - vải cotton - lớp đế cao su xốp cho đôi chân thơm - mát và khô thoáng - Đỏ,54400,https://tiki.vn/dep-chieu-huong-que-dcq-50-lam-tu-lua-to-tam-vai-cotton-lop-de-cao-su-xop-cho-doi-chan-thom-mat-va-kho-thoang-do-p53108304.html?spid=53108312,dep,d p chi u h ng qu dcq 50 l m t l a t t m v i cotton l p cao su x p cho i ch n th m m t v kh tho ng,,,
tiki,66499993.0,Dép Nữ Da Bò BIGGBEN Cao Cấp DNQN32,249000,https://tiki.vn/dep-nu-da-bo-biggben-cao-cap-dnqn32-p66499993.html?spid=66500015,dep,d p n da b biggben cao c p dnqn32,,,
tiki,108392260.0,Dép Sục Nữ Da Bò BIGGBEN Cao Cấp SBN40,279000,https://tiki.vn/dep-suc-nu-da-bo-biggben-cao-cap-sbn40-p108392260.html?spid=108392267,dep,d p s c n da b biggben cao c p sbn40,,,
tiki,120970633.0,"Dép Nữ Gấu Trúc Cực Cute, Dép Nữ Thời Trang Chống Trơn Mã DP06",52440,https://tiki.vn/dep-nu-gau-truc-cuc-cute-dep-nu-thoi-trang-chong-tron-ma-dp06-p120970633.html?spid=120971597,dep,d p n g u tr c c c cute d p n th i trang ch ng tr n m dp06,,,
tiki,22969322.0,Dép Nữ BIGGBEN Da Bò Thật DNQN20,249000,https://tiki.vn/dep-nu-biggben-da-bo-that-dnqn20-p22969322.html?spid=22969326,dep,d p n biggben da b th t dnqn20,,,
tiki,198413159.0,Dép Nữ Da Bò Thật BIGGBEN Cao Cấp DNQN53,279000,https://tiki.vn/dep-nu-da-bo-that-biggben-cao-cap-dnqn53-p198413159.html?spid=198413169,dep,d p n da b th t biggben cao c p dnqn53,,,
tiki,7375077.0,Dép Nữ BIGGBEN Da Bò Thật DNQN03,269000,https://tiki.vn/dep-nu-biggben-da-bo-that-dnqn03-p7375077.html?spid=7375081,dep,d p n biggben da b th t dnqn03,,,
tiki,10037828.0,Dép Nữ BIGGBEN Da Bò Thật DNQN12,269000,https://tiki.vn/dep-nu-biggben-da-bo-that-dnqn12-p10037828.html?spid=10037834,dep,d p n biggben da b th t dnqn12,,,
tiki,277965655.0,Dép quai ngang sức khỏe nữ Revitalign Gecko Violet,1945000,https://tiki.vn/dep-quai-ngang-suc-khoe-nu-revitalign-gecko-violet-p277965655.html?spid=277965659,dep,d p quai ngang s c kh e n revitalign gecko violet,,,
tiki,276437607.0,"Dép quai ngang đi trong nhà Hương Quế DQN-07 thích hợp mang trong nhà, trong văn phòng",68000,https://tiki.vn/dep-quai-ngang-di-trong-nha-huong-que-dqn-07-thich-hop-mang-trong-nha-trong-van-phong-p276437607.html?spid=276437613,dep,d p quai ngang i trong nh h ng qu dqn 07 th ch h p mang trong nh trong v n ph ng,,,
tiki,276094495.0,Dép Nữ Da Bò Thật BIGGBEN Cao Cấp DNQN63,279000,https://tiki.vn/dep-nu-da-bo-that-biggben-cao-cap-dnqn63-p276094495.html?spid=276094537,dep,d p n da b th t biggben cao c p dnqn63,,,
tiki,278807326.0,Dép nhựa Biti's nam (39-44),83200,https://tiki.vn/dep-nhua-biti-s-nam-39-44-p278807326.html?spid=278807336,dep,d p nh a biti s nam 39 44,,,
tiki,271398219.0,Dép Nữ Da Bò Thật BIGGBEN Cao Cấp DNQN58,279000,https://tiki.vn/dep-nu-da-bo-that-biggben-cao-cap-dnqn58-p271398219.html?spid=271398227,dep,d p n da b th t biggben cao c p dnqn58,,,
tiki,278378112.0,Dép Mang Trong Nhà Dean 24X30X5 Cm | Index Living Mall | Nội Thất Thái Lan,191520,https://tiki.vn/dep-mang-trong-nha-dean-24x30x5-cm-index-living-mall-noi-that-thai-lan-p278378112.html?spid=278378114,dep,d p mang trong nh dean 24x30x5 cm index living mall n i th t th i lan,,,
tiki,278124402.0,"Dép quai ngang đi trong nhà Hương Quế DQN-12 thích hợp mang trong nhà, trong văn phòng",76000,https://tiki.vn/dep-quai-ngang-di-trong-nha-huong-que-dqn-12-thich-hop-mang-trong-nha-trong-van-phong-p278124402.html?spid=278124412,dep,d p quai ngang i trong nh h ng qu dqn 12 th ch h p mang trong nh trong v n ph ng,,,
tiki,276609881.0,Dép Eva phun Nữ Biti's BEW000902XLC (Xanh lá cây),152000,https://tiki.vn/dep-eva-phun-nu-biti-s-bew000902xlc-xanh-la-cay-p276609881.html?spid=276609883,dep,d p eva phun n biti s bew000902xlc xanh l c y,,,
tiki,278832964.0,Dép quai ngang xốp Biti's nữ (35-40),160000,https://tiki.vn/dep-quai-ngang-xop-biti-s-nu-35-40-p278832964.html?spid=278832972,dep,d p quai ngang x p biti s n 35 40,,,
tiki,125363072.0,"Dép Nam, Dép Quai Ngang Nam Da Bò SUNPOLO SNA101 Trẻ trung (Đen, Nâu bò)",480000,https://tiki.vn/dep-nam-dep-quai-ngang-nam-da-bo-sunpolo-sna101-tre-trung-den-nau-bo-p125363072.html?spid=125363088,dep,d p nam d p quai ngang nam da b sunpolo sna101 tr trung en n u b,,,
tiki,20817728.0,Dép cao su 3 quai chéo,245000,https://tiki.vn/dep-cao-su-3-quai-cheo-p20817728.html?spid=20817738,dep,d p cao su 3 quai ch o,,,
tiki,54930771.0,Dép cao su Nữ 5 quai nhỏ,250000,https://tiki.vn/dep-cao-su-nu-5-quai-nho-p54930771.html?spid=54930781,dep,d p cao su n 5 quai nh,,,
tiki,274780205.0,"Dép Da Nam Quai Ngang, Dép Nam Quai Khâu Chỉ Dù Mã DP112",75240,https://tiki.vn/dep-da-nam-quai-ngang-dep-nam-quai-khau-chi-du-ma-dp112-p274780205.html?spid=274780211,dep,d p da nam quai ngang d p nam quai kh u ch d m dp112,,,
tiki,37660745.0,Dép cao su Nam Nữ 4 quai dẹt,250000,https://tiki.vn/dep-cao-su-nam-nu-4-quai-det-p37660745.html?spid=37660759,dep,d p cao su nam n 4 quai d t,,,
