source,keyword,title,price_raw,url,image,normalized_name
lazada,ao khoac,Áo khoác nữ form lửng chất gân tăm mát mịn/Phối nẹp khoá thời trang xinh xắn/ 2 túi trong,65.000 ₫,https://www.lazada.vn/products/pdp-i3183982395.html,https://img.lazcdn.com/g/p/d57eb01e7354ac4bdc65e4981216e8ac.jpg_200x200q80.jpg,ao khoac nu form lung chat gan tam mat min phoi nep khoa thoi trang xinh xan 2 tui trong
lazada,ao khoac,Áo khoác thun lạnh chất mềm nhẹ mát mịn(Size 40-80kg)/Áo khoác đốm có nón 4 túi,69.000 ₫,https://www.lazada.vn/products/pdp-i2315745325.html,https://img.lazcdn.com/g/p/18f04b43fd12f1d13bdd87d1f1f547f2.jpg_200x200q80.jpg,ao khoac thun lanh chat mem nhe mat min size 40 80kg ao khoac om co non 4 tui
lazada,ao khoac,"Áo Khoác 2 Mặt Nam Chống Nắng, Chống Nước, Áo Khoac Nam Siêu Hot",79.000 ₫,https://www.lazada.vn/products/pdp-i1549686425.html,https://img.lazcdn.com/g/p/146e7fd1ec29c2c4b975dcf7ab0ebd72.png_200x200q80.png,ao khoac 2 mat nam chong nang chong nuoc ao khoac nam sieu hot
lazada,ao khoac,ÁO KHOÁC PHAO NAM BOMBER CHẰN BÔNG 3 LỚP SIÊU ẤM ÁP MÙA ĐÔNG THỜI TRANG NAM 1986,175.000 ₫,https://www.lazada.vn/products/pdp-i1997164341.html,https://img.lazcdn.com/g/p/72152f20e14fe6237f354f9b9691ff05.jpg_200x200q80.jpg,ao khoac phao nam bomber chan bong 3 lop sieu am ap mua ong thoi trang nam 1986
lazada,ao khoac,"Áo Khoác Chống Nắng Vải Umi Cotton Dày Mịn, Có Túi, Form Xoè Rộng Cánh Dơi Trẻ Trung, Chống Tia UV",105.000 ₫,https://www.lazada.vn/products/pdp-i3044755830.html,https://img.lazcdn.com/g/p/575766068e284d664cba8f78dcd5977a.png_200x200q80.png,ao khoac chong nang vai umi cotton day min co tui form xoe rong canh doi tre trung chong tia uv
lazada,ao khoac,( ÁO DẠ CAO CẤP) Áo Khoác Sơ Mi Dạ Kẻ Chống Nắng Chất Dày Dặn Mặc 4 Mùa Form Rộng 45-85kg ( Nam + Nữ ),102.000 ₫,https://www.lazada.vn/products/pdp-i3123952908.html,https://img.lazcdn.com/g/p/736e393de9ba7030efcb790217e07099.jpg_200x200q80.jpg,ao da cao cap ao khoac so mi da ke chong nang chat day dan mac 4 mua form rong 45 85kg nam nu
lazada,ao khoac,"Áo Khoác Hoodie PREFACE In Nổi Siêu HOT Cho Nữ, Chống Nắng Giữ Ấm Khi Gió Lạnh Về - Jacket, Women Top",49.000 ₫,https://www.lazada.vn/products/pdp-i401872471.html,https://img.lazcdn.com/g/p/b646492de2ca249be1fc8824d716b994.jpg_200x200q80.jpg,ao khoac hoodie preface in noi sieu hot cho nu chong nang giu am khi gio lanh ve jacket women top
lazada,ao khoac,Áo khoác dù nam 2 mặt cao cấp áo khoác gió nam cổ cao chống nắng áo khoác chống thấm[FREESHIP],76.076 ₫,https://www.lazada.vn/products/pdp-i1031034037.html,https://img.lazcdn.com/g/p/9102c1c28ad0b62520088454bd3ffc7d.png_200x200q80.png,ao khoac du nam 2 mat cao cap ao khoac gio nam co cao chong nang ao khoac chong tham freeship
lazada,ao khoac,"Áo khoác gió nam nữ áo gió dù 2 lớp tráng bạc chống nước,chống bụi cản gió thích hợp đi xe máy thời tiết thu đông cao cấp nhà XUZI",130.000 ₫,https://www.lazada.vn/products/pdp-i2065691191.html,https://img.lazcdn.com/g/p/8eba65b876cc4ac1db317b1241cb4bf1.jpg_200x200q80.jpg,ao khoac gio nam nu ao gio du 2 lop trang bac chong nuoc chong bui can gio thich hop i xe may thoi tiet thu ong cao cap nha xuzi
lazada,ao khoac,ÁO KHOÁT CHỐNG NẮNG NAM NỮ CAO CẤP 3 TRONG 1 TIỆN LỢI PHÙ HỢP VỚI MỌI LỨA TUỔI CÓ SIZE ĐẾN 100KG,99.000 ₫,https://www.lazada.vn/products/pdp-i2005164677.html,https://img.lazcdn.com/g/p/473bf9a8f8cdd9c2d7a1dca392191068.jpg_200x200q80.jpg,ao khoat chong nang nam nu cao cap 3 trong 1 tien loi phu hop voi moi lua tuoi co size en 100kg
lazada,ao khoac,Bảo vệ khỏi ánh mặt trời áo khoác cho nam và nữ siêu Viscose mỏng,77.000 ₫,https://www.lazada.vn/products/pdp-i3169164052.html,https://img.lazcdn.com/g/p/c400b12d29d1469227fc3b67ad697eac.png_200x200q80.png,bao ve khoi anh mat troi ao khoac cho nam va nu sieu viscose mong
lazada,ao khoac,Áo Khoác Gió Nam Vải Dù Lót Lưới Thoáng Mát Họa Tiết Trơn 5 Màu Siêu Hot,72.000 ₫,https://www.lazada.vn/products/pdp-i2422541618.html,https://img.lazcdn.com/g/p/007a64474307a3c425032efcf4d5b40d.jpg_200x200q80.jpg,ao khoac gio nam vai du lot luoi thoang mat hoa tiet tron 5 mau sieu hot
lazada,ao khoac,Áo khoác Xanh SM hàng chính hãng( size 50_ 120  kg ),129.000 ₫,https://www.lazada.vn/products/pdp-i2523072583.html,https://img.lazcdn.com/g/ff/kf/S30e5e3ea401645cf87fac5f80dca4adbJ.jpg_200x200q80.jpg,ao khoac xanh sm hang chinh hang size 50 120 kg
